Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","83","Sorghum","2018","2018","ha","5266023","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","83","Sorghum","1980","1980","hg/ha","6580","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","83","Sorghum","2018","2018","hg/ha","9404","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","83","Sorghum","1980","1980","tonnes","10662302","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","83","Sorghum","2018","2018","tonnes","4952418","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","15","Wheat","1980","1980","ha","37889677","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5312","Area harvested","15","Wheat","2018","2018","ha","47826635","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","15","Wheat","1980","1980","hg/ha","13818","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5419","Yield","15","Wheat","2018","2018","hg/ha","30239","Fc","Calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","15","Wheat","1980","1980","tonnes","52357496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5303","Southern Asia","5510","Production","15","Wheat","2018","2018","tonnes","144621168","A","Aggregate, may include official, semi-official, estimated or calculated data"
