year,type,value
1930,others,0
1931,animals,211.56716417910445
1931,farmers,54.850746268656735
1931,fertilizers,13.582089552238813
1931,fuels,3.6567164179103884
1931,others,0
1932,animals,208.69402985074623
1932,farmers,54.850746268656735
1932,fertilizers,13.930348258706488
1932,fuels,6.1815920398009325
1932,others,0
1933,animals,205.6467661691542
1933,farmers,54.850746268656735
1933,fertilizers,12.537313432835845
1933,fuels,8.009950248756184
1933,others,0
1934,animals,202.68656716417905
1934,farmers,53.80597014925377
1934,fertilizers,10.708955223880537
1934,fuels,10.18656716417911
1934,others,0
1935,animals,202.1641791044776
1935,farmers,51.19402985074629
1935,fertilizers,7.5746268656716325
1935,fuels,9.141791044776056
1935,others,0
1936,animals,198.50746268656712
1936,farmers,51.19402985074629
1936,fertilizers,9.402985074626827
1936,fuels,9.925373134328368
1936,others,0
1937,animals,195.46019900497504
1937,farmers,51.45522388059703
1937,fertilizers,14.888059701492523
1937,fuels,7.226368159204014
1937,others,0
1938,animals,189.88805970149247
1938,farmers,50.14925373134332
1938,fertilizers,14.80099502487559
1938,fuels,8.271144278606982
1938,others,0
1939,animals,171.06032338308452
1939,farmers,49.97512437810949
1939,fertilizers,10.241971958389854
1939,fuels,9.195217096336506
1939,others,0
1940,animals,162.2885572139303
1940,farmers,47.711442786069675
1940,fertilizers,13.233830845771138
1940,fuels,6.616915422885569
1940,others,0
1941,animals,166.11940298507454
1941,farmers,46.231343283582135
1941,fertilizers,9.402985074626855
1941,fuels,7.313432835820919
1941,others,0
1942,animals,168.77487562189052
1942,farmers,44.22885572139305
1942,fertilizers,6.007462686567095
1942,fuels,8.750000000000057
1942,others,0
1943,animals,165.07462686567163
1943,farmers,42.05223880597015
1943,fertilizers,8.619402985074629
1943,fuels,9.664179104477597
1943,others,0
1944,animals,163.15920398009948
1944,farmers,41.26865671641792
1944,fertilizers,9.402985074626883
1944,fuels,5.833333333333286
1944,others,0
1945,animals,168.25248756218897
1945,farmers,42.66169154228859
1945,fertilizers,9.272388059701484
1945,fuels,4.440298507462728
1945,others,0
1946,animals,172.9975124378109
1946,farmers,45.18656716417914
1946,fertilizers,12.276119402985046
1946,fuels,6.442786069651731
1946,others,0
1947,animals,177.08955223880588
1947,farmers,46.231343283582135
1947,fertilizers,15.323383084577102
1947,fuels,8.967661691542304
1947,others,0
1948,animals,180.2238805970149
1948,farmers,46.49253731343288
1948,fertilizers,18.109452736318417
1948,fuels,12.189054726368113
1948,others,0
1949,animals,180.04975124378106
1949,farmers,44.92537313432839
1949,fertilizers,18.805970149253767
1949,fuels,12.189054726368113
1949,others,0
1950,animals,180.48507462686567
1950,farmers,39.701492537313435
1950,fertilizers,15.932835820895491
1950,fuels,13.582089552238756
1950,others,0
1951,animals,177.69900497512432
1951,farmers,38.830845771144276
1951,fertilizers,21.9402985074627
1951,fuels,15.410447761194064
